                                     reads_raw  trim_adapter_bp_read1  trim_quality_bp_read1  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
OAK-MOR-1061                           2118700                      0                      0                  4142                         0              2114558
OAK-MOR-1095                           1901070                      0                      0                  5406                       744              1894920
OAK-MOR-1134                           4331382                      0                      0                  9896                         0              4321486
OAK-MOR-1135                           4344295                      0                      0                 10932                         0              4333363
OAK-MOR-1136                           2946776                      0                      0                  5724                         0              2941052
OAK-MOR-1137                           2951350                      0                      0                  6101                         0              2945249
OAK-MOR-1138                           2732063                      0                      0                  5415                         0              2726648
OAK-MOR-1140                           2290739                      0                      0                  4856                         0              2285883
OAK-MOR-1141                           5617623                      0                      0                 12440                         0              5605183
OAK-MOR-1142                           2571536                      0                      0                  5370                         0              2566166
OAK-MOR-1143                           3219874                      0                      0                  6841                         0              3213033
OAK-MOR-1144                           7186039                      0                      0                 14309                         0              7171730
OAK-MOR-1145                           4304799                      0                      0                  8634                         0              4296165
OAK-MOR-1146                           5501494                      0                      0                 13217                         0              5488277
OAK-MOR-1147                           5555432                      0                      0                 11652                         0              5543780
OAK-MOR-1148                           2083431                      0                      0                  4003                         0              2079428
OAK-MOR-118                            3695490                      0                      0                   193                         0              3695297
OAK-MOR-120                            3964759                      0                      0                   227                         0              3964532
OAK-MOR-1224                           3562414                      0                      0                   194                         0              3562220
OAK-MOR-1227                           2925981                      0                      0                   162                         0              2925819
OAK-MOR-1228                           4121791                      0                      0                   215                         0              4121576
OAK-MOR-1229                           4273867                      0                      0                   256                         0              4273611
OAK-MOR-123.fq.barcodeStripped         1239117                      0                      0                  3140                       199              1235778
OAK-MOR-1230                           5119394                      0                      0                   314                         0              5119080
OAK-MOR-1234                           3748168                      0                      0                   194                         0              3747974
OAK-MOR-1235                           3908015                      0                      0                   202                         0              3907813
OAK-MOR-125                            1661910                      0                      0                   308                         0              1661602
OAK-MOR-127                            1291617                      0                      0                   245                         0              1291372
OAK-MOR-133.fq.barcodeStripped         1548152                      0                      0                  3544                       253              1544355
OAK-MOR-135                            2442493                      0                      0                   628                         0              2441865
OAK-MOR-143                            2180822                      0                      0                  1742                         0              2179080
OAK-MOR-164                            1866644                      0                      0                  1615                         0              1865029
OAK-MOR-167.fq.barcodeStripped         1682006                      0                      0                  4387                       237              1677382
OAK-MOR-169.fq.barcodeStripped         1335229                      0                      0                  3322                       201              1331706
OAK-MOR-173                            2541753                      0                      0                   703                         0              2541050
OAK-MOR-174                            2511830                      0                      0                   663                         0              2511167
OAK-MOR-189                            1301034                      0                      0                   309                         0              1300725
OAK-MOR-191                            2433737                      0                      0                   642                         0              2433095
OAK-MOR-199                            2139123                      0                      0                   487                         0              2138636
OAK-MOR-204.fq.barcodeStripped          843842                      0                      0                  1767                       138               841937
OAK-MOR-221.fq.barcodeStripped         1564081                      0                      0                  3893                       219              1559969
OAK-MOR-222                            1896840                      0                      0                   476                         0              1896364
OAK-MOR-226                            1147583                      0                      0                   273                         0              1147310
OAK-MOR-245.fq.barcodeStripped         1639893                      0                      0                  1035                      3111              1635747
OAK-MOR-249.fq.barcodeStripped         1653465                      0                      0                   988                      3032              1649445
OAK-MOR-256.fq.barcodeStripped         1269094                      0                      0                  3247                       202              1265645
OAK-MOR-260                            1713511                      0                      0                  1475                         0              1712036
OAK-MOR-289.fq.barcodeStripped         1547705                      0                      0                  1000                      2988              1543717
OAK-MOR-305                            2587934                      0                      0                   643                         0              2587291
OAK-MOR-336                            1051361                      0                      0                   299                         0              1051062
OAK-MOR-340.fq.barcodeStripped         1488252                      0                      0                  3878                       236              1484138
OAK-MOR-342                            1062944                      0                      0                   259                         0              1062685
OAK-MOR-346                            1629290                      0                      0                   418                         0              1628872
OAK-MOR-351                            1900355                      0                      0                   483                         0              1899872
OAK-MOR-352                            1936319                      0                      0                   470                         0              1935849
OAK-MOR-353                            3485896                      0                      0                   880                         0              3485016
OAK-MOR-354                            2966055                      0                      0                   794                         0              2965261
OAK-MOR-356                            1215887                      0                      0                   301                         0              1215586
OAK-MOR-357                            3095386                      0                      0                   806                         0              3094580
OAK-MOR-358                            2793010                      0                      0                   708                         0              2792302
OAK-MOR-359                            1281193                      0                      0                   297                         0              1280896
OAK-MOR-360                            1723555                      0                      0                   442                         0              1723113
OAK-MOR-361                            3919903                      0                      0                   245                         0              3919658
OAK-MOR-362                            2128309                      0                      0                   563                         0              2127746
OAK-MOR-365                            2071814                      0                      0                   380                         0              2071434
OAK-MOR-375                            1162942                      0                      0                   289                         0              1162653
OAK-MOR-376                            1085858                      0                      0                   269                         0              1085589
OAK-MOR-377                            2095002                      0                      0                   513                         0              2094489
OAK-MOR-383                            1759444                      0                      0                   469                         0              1758975
OAK-MOR-385                            1109597                      0                      0                   291                         0              1109306
OAK-MOR-387                            1104269                      0                      0                   276                         0              1103993
OAK-MOR-388                            2135219                      0                      0                   547                         0              2134672
OAK-MOR-390                            2077423                      0                      0                   526                         0              2076897
OAK-MOR-391                            1637746                      0                      0                   460                         0              1637286
OAK-MOR-392                            3472996                      0                      0                   927                         0              3472069
OAK-MOR-393                            3032010                      0                      0                   792                         0              3031218
OAK-MOR-394                            1745063                      0                      0                   459                         0              1744604
OAK-MOR-395                            1916029                      0                      0                   479                         0              1915550
OAK-MOR-397                            2069875                      0                      0                   525                         0              2069350
OAK-MOR-398                            2109012                      0                      0                   527                         0              2108485
OAK-MOR-399                            1014885                      0                      0                   274                         0              1014611
OAK-MOR-400                            1202152                      0                      0                   283                         0              1201869
OAK-MOR-401                            1198699                      0                      0                   303                         0              1198396
OAK-MOR-402                            2152950                      0                      0                   539                         0              2152411
OAK-MOR-403                            1097803                      0                      0                   269                         0              1097534
OAK-MOR-405.fq.barcodeStripped         1087195                      0                      0                  2247                       155              1084793
OAK-MOR-406                            1024215                      0                      0                   236                         0              1023979
OAK-MOR-410                            1144176                      0                      0                   291                         0              1143885
OAK-MOR-411                            1864973                      0                      0                   468                         0              1864505
OAK-MOR-412                            2691646                      0                      0                   167                         0              2691479
OAK-MOR-413                            1098280                      0                      0                   297                         0              1097983
OAK-MOR-414                            1181235                      0                      0                   281                         0              1180954
OAK-MOR-415                            1277178                      0                      0                   321                         0              1276857
OAK-MOR-416                            1084558                      0                      0                   302                         0              1084256
OAK-MOR-417                            1970838                      0                      0                   514                         0              1970324
OAK-MOR-418                            2335796                      0                      0                   585                         0              2335211
OAK-MOR-419                            1017152                      0                      0                   233                         0              1016919
OAK-MOR-420                            2180587                      0                      0                   586                         0              2180001
OAK-MOR-421                            1050702                      0                      0                   269                         0              1050433
OAK-MOR-422                            1224998                      0                      0                   333                         0              1224665
OAK-MOR-423.fq.barcodeStripped         1254384                      0                      0                  2665                       196              1251523
OAK-MOR-428                            2971929                      0                      0                   493                         0              2971436
OAK-MOR-429                            3343574                      0                      0                   548                         0              3343026
OAK-MOR-430                            2532292                      0                      0                   447                         0              2531845
OAK-MOR-435                            1073756                      0                      0                   276                         0              1073480
OAK-MOR-436                            1065288                      0                      0                   265                         0              1065023
OAK-MOR-438                             935718                      0                      0                   260                         0               935458
OAK-MOR-441A                           2945461                      0                      0                   479                         0              2944982
OAK-MOR-443                            1569130                      0                      0                   271                         0              1568859
OAK-MOR-444                            3731465                      0                      0                   945                         0              3730520
OAK-MOR-446                            1354693                      0                      0                   374                         0              1354319
OAK-MOR-448.fq.barcodeStripped         1382312                      0                      0                  3125                       224              1378963
OAK-MOR-461.fq.barcodeStripped         1999855                      0                      0                  4522                       291              1995042
OAK-MOR-462                            1064488                      0                      0                   266                         0              1064222
OAK-MOR-463                            1107669                      0                      0                   279                         0              1107390
OAK-MOR-470                             930189                      0                      0                   230                         0               929959
OAK-MOR-474                            1128532                      0                      0                   287                         0              1128245
OAK-MOR-476                            1482912                      0                      0                   380                         0              1482532
OAK-MOR-485                            2409643                      0                      0                   439                         0              2409204
OAK-MOR-486                            1151732                      0                      0                   293                         0              1151439
OAK-MOR-487.fq.barcodeStripped         1664675                      0                      0                  1102                      3161              1660412
OAK-MOR-488                            2572195                      0                      0                   665                         0              2571530
OAK-MOR-489                            1238994                      0                      0                   315                         0              1238679
OAK-MOR-490                            1998252                      0                      0                   516                         0              1997736
OAK-MOR-495                            2153549                      0                      0                   526                         0              2153023
OAK-MOR-496                            1988469                      0                      0                   487                         0              1987982
OAK-MOR-498                            2596971                      0                      0                   393                         0              2596578
OAK-MOR-499                            2079987                      0                      0                   590                         0              2079397
OAK-MOR-500                            2073407                      0                      0                   354                         0              2073053
OAK-MOR-502                            1056093                      0                      0                   287                         0              1055806
OAK-MOR-507                            1443515                      0                      0                   233                         0              1443282
OAK-MOR-508                            2066854                      0                      0                   522                         0              2066332
OAK-MOR-509                            1765563                      0                      0                   312                         0              1765251
OAK-MOR-510                            2950236                      0                      0                   685                         0              2949551
OAK-MOR-511                            2449044                      0                      0                   623                         0              2448421
OAK-MOR-516                            2520861                      0                      0                   598                         0              2520263
OAK-MOR-517                            2067630                      0                      0                   550                         0              2067080
OAK-MOR-520                            1847644                      0                      0                   456                         0              1847188
OAK-MOR-521                            2013206                      0                      0                   351                         0              2012855
OAK-MOR-527                            2979296                      0                      0                   745                         0              2978551
OAK-MOR-528                            2127595                      0                      0                   524                         0              2127071
OAK-MOR-529                            2113158                      0                      0                   550                         0              2112608
OAK-MOR-531                            1275715                      0                      0                   323                         0              1275392
OAK-MOR-532                            2218804                      0                      0                   565                         0              2218239
OAK-MOR-533                            2084602                      0                      0                   615                         0              2083987
OAK-MOR-534                            1063439                      0                      0                   282                         0              1063157
OAK-MOR-535                            1451154                      0                      0                   339                         0              1450815
OAK-MOR-537                            1824958                      0                      0                   311                         0              1824647
OAK-MOR-543                            1982362                      0                      0                   317                         0              1982045
OAK-MOR-544                            1694886                      0                      0                   317                         0              1694569
OAK-MOR-545                            1757394                      0                      0                   299                         0              1757095
OAK-MOR-546                            2035536                      0                      0                   312                         0              2035224
OAK-MOR-548                            1967274                      0                      0                   318                         0              1966956
