                                     hetero_est  error_est
OAK-MOR-990                            0.014951   0.002826
OAK-MOR-992                            0.013593   0.002692
OAK-MOR-993                            0.015645   0.002871
OAK-MOR-994                            0.014268   0.002564
OAK-MOR-995                            0.014190   0.002424
OAK-MOR-996                            0.013959   0.002560
OAK-MOR-997                            0.015104   0.002868
OAK-MOR-JW-2604                        0.013828   0.002422
OAK-UMN-003                            0.011325   0.002230
OAK-UMN-004                            0.010316   0.002058
OAK-UMN-005                            0.011176   0.002209
OAK-UMN-007                            0.008020   0.001885
OAK-UMN-008                            0.012254   0.002177
OAK-UMN-009                            0.010323   0.002133
OAK-UMN-010                            0.006402   0.001877
OAK-UMN-011                            0.006704   0.001877
OAK-UMN-012.fq.barcodeStripped         0.005927   0.001261
OAK-UMN-013                            0.010418   0.002166
OAK-UMN-014                            0.009105   0.002265
OAK-UMN-015                            0.009354   0.002226
OAK-UMN-037                            0.012435   0.002170
OAK-UMN-038                            0.012849   0.002226
OAK-UMN-040                            0.013572   0.002248
OAK-UMN-041                            0.014019   0.002432
OAK-UMN-045                            0.010488   0.002167
OAK-UMN-047                            0.015394   0.002451
OAK-UMN-058                            0.011359   0.002036
OAK-UMN-059                            0.005263   0.002051
OAK-UMN-060                            0.005822   0.001864
OAK-UMN-066                            0.010686   0.002103
OAK-UMN-067.fq.barcodeStripped         0.010500   0.001257
OAK-UMN-070                            0.012385   0.002294
OAK-UMN-079                            0.008462   0.002393
OAK-UMN-088                            0.013050   0.002396
OAK-UMN-091                            0.014568   0.002526
OAK-UMN-103                            0.010171   0.002106
OAK-UMN-106                            0.032146   0.004447
OAK-UMN-124                            0.011084   0.002110
OAK-UMN-128                            0.014860   0.002432
OAK-UMN-133                            0.022713   0.003540
OAK-UMN-135                            0.002008   0.001794
OAK-UMN-136                            0.012297   0.002163
OAK-UMN-140                            0.013065   0.002159
OAK-UMN-146                            0.013734   0.002437
OAK-UMN-150                            0.011447   0.002020
OAK-UMN-156                            0.011105   0.002084
OAK-UMN-166                            0.012488   0.002178
OAK-UMN-173                            0.010263   0.002193
OAK-UMN-180                            0.007575   0.002026
OAK-UMN-236                            0.010802   0.002324
OAK-UMN-243                            0.009549   0.001942
OAK-UMN-255                            0.010700   0.002197
OAK-UMN-257                            0.011878   0.002300
OAK-UMN-258                            0.013334   0.002175
OAK-UMN-260                            0.012891   0.002303
OAK-UMN-261                            0.011026   0.002116
OAK-UMN-263                            0.013466   0.002286
OAK-UMN-265                            0.013693   0.002171
OAK-UMN-268                            0.011448   0.002131
OAK-UMN-271                            0.011512   0.001992
OAK-UMN-276                            0.021737   0.003883
OAK-UMN-280                            0.011804   0.002042
OAK-UMN-288                            0.012322   0.002172
OAK-UMN-293                            0.012105   0.002080
OAK-UMN-294                            0.012576   0.002331
OAK-UMN-297                            0.011082   0.002132
OAK-UMN-302                            0.013167   0.002641
OAK-UMN-304.fq.barcodeStripped         0.011780   0.001341
OAK-UMN-309                            0.011539   0.002158
OAK-UMN-311                            0.011633   0.002185
OAK-UMN-314                            0.010828   0.002270
OAK-UMN-323                            0.010495   0.001943
OAK-UMN-324                            0.011094   0.001916
OAK-UMN-333                            0.012676   0.002225
OAK-UMN-334                            0.011280   0.002048
OAK-UMN-338.fq.barcodeStripped         0.010326   0.001375
OAK-UMN-343                            0.011234   0.002290
OAK-UMN-346                            0.010384   0.002142
OAK-UMN-352                            0.006171   0.001962
OAK-UMN-356                            0.006404   0.002019
OAK-UMN-357                            0.007111   0.001963
