1		
Quercus_crassifolia|Mexico|Durango|2015022|QUE001276	Erythromexicana	0.46
Quercus_brachystachys|Mexico|Durango|2017108|QUE001997	Erythromexicana	0.57
Quercus_mcvaughii|Mexico|Durango|2017132|QUE002021	Erythromexicana	0.57
Quercus_scytophylla|Mexico|Oaxaca|JCB-MX-OA-PA-17|QUE000210	Erythromexicana	0.57
Quercus_hypoleucoides|USA|AZ|AZ-HU-19|QUE000172	Erythromexicana	0.57
Quercus_sideroxyla|Mexico|Durango|2017134|QUE002023	Erythromexicana	0.57
Quercus_jonesii|Mexico|Durango|2017103|QUE001993	Erythromexicana	0.57
Quercus_emoryi|Mexico|Durango|2017152|QUE002040	Erythromexicana	0.57
Quercus_durifolia|Mexico|Durango|2015055|QUE001309	Erythromexicana	0.57
Quercus_conzattii|Mexico|Nayarit|2015072|QUE001324	Erythromexicana	0.57
Quercus_radiata|Mexico|Durango|2015048|QUE001302	Erythromexicana	0.57
Quercus_conzattii|Mexico|Oaxaca|JCB-MX-OA-TE-4|QUE000197	Erythromexicana	0.57
Quercus_calophylla|Mexico|Michoacan|JCB-MX-MI-ZE-8|QUE000008	Erythromexicana	0.57
Quercus_fulva|Mexico|Durango|2015058|QUE001311	Erythromexicana	0.57
Quercus_urbanii|Mexico|Durango|2015037|QUE001291	Erythromexicana	0.57
Quercus_viminea|Mexico|Sinaloa|2015016|QUE001270	Erythromexicana	0.57
Quercus_eduardi|Mexico|Zacatecas|2017156|QUE002044	Erythromexicana	0.57
Quercus_crassipes|Mexico|Michoacan|JCB-MX-MI-UM-88|QUE000089	Erythromexicana	0.57
Quercus_gentryi|Mexico|Jalisco|JCB-MX-JA-TM-114|QUE000382	Erythromexicana	0.57
Quercus_castanea|Mexico|Jalisco|JCB-MX-JA-MA-148|QUE000417	Erythromexicana	0.57
Quercus_acutifolia|Mexico|Oaxaca|JCB-MX-OA-MI-83|QUE000276	Erythromexicana	0.57
Quercus_grahamii|Mexico|Oaxaca|JCB-MX-OA-CA-29|QUE000222	Erythromexicana	0.57
Quercus_humboldtii|Colombia|NA|PM-338|QUE001608	Erythromexicana	0.57
Quercus_costaricensis|Costa_Rica|NA|CR-JCB-2|QUE001084	Erythromexicana	0.57
Quercus_eugeniifolia|Honduras|NA|JCB-HN-UY-37|QUE000526	Erythromexicana	0.57
